Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"Feldman, S.",264,2,8-Apr,HOU,,CLE,L0-2,GS-7,L(0-1),99,6.2,5,1,1,0,5,1,0,1.35,25,103,68,18,7,12,8,2,1,0,65,,,0,0,0,25,0,0,0,0,0,0,0.76,0.221,2.31,17,10.67,1t start tie,7t --- 2 out  d1
"Feldman, S.",265,7,13-Apr,HOU,,OAK,L1-8,GS-5,L(0-2),4,5,10,8,7,1,0,3,0,6.17,24,96,65,18,3,14,9,5,0,0,16,,,0,0,0,23,2,0,0,3,0,1,0.54,-0.378,-5.57,-14.75,-2,1t start tie,5t 3 out  d7
"Feldman, S.",266,12,19-Apr,HOU,,LAA,W4-3,GS-6,W(1-2),5,6,6,2,2,0,3,1,0,5.09,23,102,63,13,7,10,10,4,0,0,55,,,0,1,0,23,0,0,0,0,0,0,0.97,0.104,0.92,12.3,11,1t start tie,6t 3 out  a2
"Feldman, S.",267,17,25-Apr,HOU,@,OAK,W9-3,GS-7,W(2-2),5,6.2,5,3,3,2,6,0,0,4.81,27,108,68,25,4,10,9,4,1,0,56,,,0,0,0,25,0,1,0,0,0,0,0.44,0.173,0.05,19,13.67,1b start a 1,7b --3 2 out  a5
"Feldman, S.",268,22,30-Apr,HOU,,SEA,W3-2,GS-7,,4,7,8,2,2,2,2,0,0,4.31,28,101,63,16,7,15,9,6,1,0,53,,,0,1,0,26,0,0,0,2,0,0,1.04,0.178,1.41,6.15,7,1t start tie,7t 3 out tie
"Feldman, S.",269,27,5-May,HOU,,TEX,L1-7,GS-3,L(2-3),4,3,9,6,6,1,2,1,0,5.5,17,77,45,14,8,3,11,9,1,0,18,,,1,0,0,15,3,0,0,0,1,0,0.72,-0.38,-4.54,-12.05,-1,1t start tie,3t 3 out  d5
"Feldman, S.",270,32,10-May,HOU,@,LAA,L1-3,GS-7,L(2-4),4,7,6,3,3,1,5,0,0,5.23,28,96,61,12,7,14,8,5,1,0,57,,,0,0,0,26,1,0,0,0,1,0,0.93,-0.072,0.2,12.55,9,1b start tie,7b 3 out  d2
"Feldman, S.",271,37,16-May,HOU,,TOR,W6-5,GS-7,W(3-4),5,6.2,5,3,3,3,10,0,0,5.06,28,112,75,30,12,7,8,4,1,0,59,,,0,0,0,25,2,1,0,0,0,0,0.76,-0.005,0.18,27,17.67,1t start tie,7t 1-- 2 out  a3
"Feldman, S.",272,42,21-May,HOU,@,DET,L5-6,GS-6,,4,6,10,5,4,1,2,1,0,5.17,27,105,66,13,5,9,15,10,1,0,35,,,2,0,0,26,1,0,0,2,0,1,0.69,-0.174,-2.14,-2.5,4,1b start tie,6b 3 out  d5
"Feldman, S.",273,47,26-May,HOU,@,BAL,W4-1,GS-6,W(4-4),4,6,4,1,1,3,2,0,0,4.8,23,92,55,16,6,8,10,8,0,0,59,,,2,0,0,19,1,0,0,3,1,1,1.3,0.16,2.01,14.7,11,1b start tie,6b 3 out  d1
"Feldman, S.",274,93,18-Jul,HOU,,TEX,L6-7,GS-6,L(4-5),52,5.2,9,4,4,2,2,2,0,4.93,28,92,59,15,8,11,13,8,3,0,35,,,2,0,0,24,2,0,0,0,1,0,0.95,-0.137,-1.3,-2.05,3.67,1t start tie,6t 1-- 2 out  d4
"Feldman, S.",275,99,25-Jul,HOU,@,KCR,L1-2,GS-8,,6,7.2,4,1,1,1,2,0,0,4.54,27,90,58,15,3,14,10,4,0,0,68,,,0,0,0,25,1,0,1,2,1,1,1.52,0.255,2.69,14.45,8.67,1b start tie,8b -2- 2 out tie
"Feldman, S.",276,104,31-Jul,HOU,,ARI,L4-6,GS-6,,5,5.1,7,3,3,0,3,0,0,4.58,24,98,62,17,8,14,7,4,0,0,45,,,0,0,0,24,1,0,0,0,0,1,1.06,-0.001,-0.01,3.6,5.33,1t start tie,6t --3 1 out  a2
"Feldman, S.",277,110,6-Aug,HOU,@,OAK,W5-4,GS-6,,5,6,5,2,2,2,3,2,0,4.46,25,113,63,21,5,7,13,8,0,0,55,,,0,0,0,23,1,0,0,0,0,0,1,0.047,0.92,9.5,7,1b start a 1,6b 3 out  d1
"Feldman, S.",278,115,12-Aug,HOU,@,SFG,W2-0,GS-6,W(5-5),5,6,4,0,0,1,4,0,0,4.17,22,85,60,17,11,7,10,4,1,0,67,,,1,0,0,21,1,0,0,1,0,0,1.12,0.34,2.7,20.7,14,1b start tie,6b 3 out tie
"Feldman, S.",279,120,18-Aug,HOU,,TBR,W3-2,GS-7,,5,7,9,2,2,2,2,1,0,4.05,31,106,65,16,8,16,11,4,2,0,51,,,0,0,0,29,1,0,0,1,0,0,1.54,0.065,1.41,4.95,7,1t start tie,7t 3 out  d1
"Feldman, S.",280,126,24-Aug,HOU,@,NYY,L0-1,GS-8,,5,8,6,0,0,0,6,0,0,3.75,28,110,73,20,9,9,13,5,1,0,76,,,1,0,0,28,0,0,0,1,0,0,1.37,0.537,3.81,22.8,14,1b start tie,8b 3 out tie
"Feldman, S.",281,133,1-Sep,HOU,,SEA,L5-7,GS-3,,7,2.2,3,3,3,5,2,1,0,3.9,16,84,43,12,9,4,5,2,1,0,37,,,2,0,0,11,0,1,0,0,0,0,1.29,-0.114,-0.97,0.4,1.67,1t start tie,3t 12- 2 out  d1
