Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"Hernandez, R.",249,5,11-Apr,HOU,@,TEX,L2-6,GS-5,L(0-1),99,4.2,5,5,1,4,2,0,0,1.93,23,92,55,16,6,10,7,6,1,0,40,,,0,0,0,19,3,1,1,0,0,0,0.93,-0.037,-0.22,6.5,5.67,1b start tie,5b 123 2 out  d1
"Hernandez, R.",250,10,17-Apr,HOU,,LAA,L3-6,GS-6,,5,6,3,3,3,1,6,1,0,3.38,22,96,56,17,7,9,6,2,0,0,59,,,0,0,0,20,0,1,0,0,1,0,0.94,-0.125,-0.08,15.9,9,1t start tie,6t 3 out  d2
"Hernandez, R.",251,15,22-Apr,HOU,@,SEA,L2-3,GS-7,L(0-2),4,7,6,3,3,1,2,1,0,3.57,27,97,64,20,6,14,10,6,0,0,54,,,1,0,0,26,0,0,0,0,0,0,0.63,-0.053,0.2,6.55,6,1b start tie,7b 3 out  d1
"Hernandez, R.",252,20,28-Apr,HOU,@,SDP,W14-3,GS-6,W(1-2),5,6,6,3,3,1,6,2,0,3.8,25,94,65,18,11,10,8,5,0,0,53,,,1,0,0,24,0,0,0,0,0,0,0.92,0.062,-0.41,16.3,13,1b start a 2,6b 3 out  a3
"Hernandez, R.",253,25,3-May,HOU,,SEA,W7-6,GS-7,,4,6,8,5,4,2,1,0,0,4.25,25,93,55,19,4,8,14,8,2,0,37,,,0,1,0,23,2,2,0,1,0,0,0.76,-0.095,-1.56,-2.1,3,1t start tie,7t -23 0 out  a3
"Hernandez, R.",254,30,8-May,HOU,@,LAA,L0-2,GS-8,L(1-3),4,7.2,7,2,2,0,3,0,1,3.86,29,92,58,13,7,16,9,4,1,0,60,,,0,0,0,27,0,0,0,2,1,0,0.88,0.027,1.45,10.25,8.67,1b start tie,8b 1-- 2 out  d2
"Hernandez, R.",255,35,14-May,HOU,,TOR,W6-4,GS-7,,5,6.1,6,4,4,3,0,2,0,4.12,26,85,53,16,4,13,10,6,2,0,42,,,1,0,0,23,2,0,0,2,0,0,0.81,-0.161,-1.15,-0.95,2.33,1t start tie,7t 123 1 out  d1
"Hernandez, R.",256,40,19-May,HOU,,OAK,W6-4,GS-6,W(2-3),4,6,7,2,2,2,3,1,0,3.99,25,105,67,23,6,9,11,8,0,0,51,,,3,0,0,23,2,0,0,0,0,0,1.06,0.139,0.92,11.1,11,1t start tie,6t 3 out  a1
"Hernandez, R.",257,45,24-May,HOU,@,DET,W10-8,GS-5,,4,5,9,7,7,3,5,0,0,4.77,25,95,59,22,6,9,8,4,0,0,23,,,0,1,0,21,5,0,0,1,1,0,0.78,-0.473,-4.62,-3.55,3,1b start a 3,5b 3 out  d4
"Hernandez, R.",258,51,31-May,HOU,,CHW,L0-6,GS-6,L(2-4),6,5.2,8,5,4,1,2,0,0,4.92,27,95,65,18,2,15,9,4,1,0,36,,,2,0,0,26,1,0,0,0,0,1,0.76,-0.239,-2.4,-0.85,3.67,1t start tie,6t -2- 2 out  d5
"Hernandez, R.",259,56,5-Jun,HOU,@,TOR,L2-6,GS-6,L(2-5),4,5.2,9,6,5,2,1,2,0,5.18,26,96,60,12,3,9,14,6,1,0,28,,,0,1,0,24,2,0,0,1,0,0,0.52,-0.272,-3.46,-6.05,1.67,1b start tie,6b --3 2 out  d6
"Hernandez, R.",260,63,13-Jun,HOU,,SEA,L1-8,7-Apr,,7,4,4,0,0,0,5,0,0,4.89,15,63,40,13,8,5,5,3,1,0,,0,0,0,0,0,15,1,0,0,1,0,0,0.05,0.009,1.95,14.2,9,4t --- 0 out  d8,7t 3 out  d7
"Hernandez, R.",261,69,19-Jun,HOU,@,SEA,L2-5,6-GF(8),,5,3,2,0,0,1,1,0,0,4.68,11,37,22,4,4,4,5,3,0,0,,0,0,1,0,0,10,1,0,0,1,0,0,0.17,0.019,1.37,6.35,4,6b --- 0 out  d4,8b end   d 3
"Hernandez, R.",262,73,23-Jun,HOU,@,LAA,W13-3,9-GF,,3,1,2,1,1,0,0,0,0,4.74,5,14,9,4,0,1,4,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0,0,-0.54,-2.15,0,9b --- 0 out a11,9b end   a10
