Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"Kazmir, S.",240,1,1-Apr,DET,@,CWS,W10-0,GS-7,W(1-0),99,7,1,0,0,2,10,0,0,0,25,95,62,22,13,6,7,2,2,0,83,,,0,0,0,22,0,0,0,0,0,1,0.44,0.195,3.41,38.55,21,1t start tie,7t 3 out  a9
"Kazmir, S.",241,2,2-Apr,DET,,CWS,W10-0,GS-7,W(1-0),99,7,1,0,0,2,10,0,0,0,25,95,62,22,13,6,7,2,2,0,83,,,0,0,0,22,0,0,0,0,0,1,0.44,0.195,3.41,38.55,21,1t start tie,7t 3 out  a9
"Kazmir, S.",242,3,8-Apr,OAK,,TEX,W10-0,GS-7,W(1-0),99,7,1,0,0,2,10,0,0,0,25,95,62,22,13,6,7,2,2,0,83,,,0,0,0,22,0,0,0,0,0,1,0.44,0.195,3.41,38.55,21,1t start tie,7t 3 out  a9
"Kazmir, S.",243,8,13-Apr,OAK,@,HOU,W8-1,GS-6,W(2-0),4,6,3,1,1,3,8,1,0,0.69,23,91,56,18,12,5,7,3,0,0,67,,,0,0,0,20,1,0,0,1,0,0,0.6,0.117,1.92,27.9,17,1b start a 3,6b 3 out  a7
"Kazmir, S.",244,13,19-Apr,OAK,@,KCR,L2-4,GS-8,,5,7.1,6,2,2,1,5,0,1,1.33,29,103,73,16,11,14,8,5,2,0,62,,,0,0,0,27,1,0,0,1,0,0,1.42,0.311,2.33,14.7,10.33,1b start tie,8b -2- 1 out  a1
"Kazmir, S.",245,18,24-Apr,OAK,,HOU,L4-5,GS-7,,4,7,5,0,0,3,7,0,0,0.99,29,106,69,16,11,8,11,4,1,0,71,,,0,0,0,26,0,0,0,0,0,0,1.33,0.438,3.41,23.75,14,1t start tie,7t 3 out tie
"Kazmir, S.",246,24,1-May,OAK,@,TEX,W7-5,GS-6,,6,6,6,3,3,1,6,2,1,1.62,26,98,65,18,10,6,12,11,1,0,53,,,0,0,0,23,2,0,0,0,1,0,0.69,-0.079,0.07,11.7,9,1b start tie,6b 3 out  d3
"Kazmir, S.",247,29,6-May,OAK,@,MIN,L0-13,GS-6,L(2-1),4,6,7,6,6,2,4,2,0,2.75,26,99,67,15,9,6,14,9,2,0,36,,,0,0,0,23,0,1,0,1,1,0,0.58,-0.23,-2.99,1.1,4,1b start tie,6b 3 out  d6
"Kazmir, S.",248,34,11-May,OAK,,BOS,L4-5,GS-6,,4,6,4,2,2,4,3,0,0,2.78,24,111,68,15,13,6,11,7,3,0,55,,,0,0,1,20,2,0,0,1,0,0,1.13,0.085,0.92,10.7,7,1t start tie,6t 3 out  a1
"Kazmir, S.",249,39,17-May,OAK,,CHW,L3-7,GS-5,L(2-2),5,4.1,7,5,3,3,6,0,0,3.08,25,103,67,19,13,14,2,2,0,0,36,,,0,0,0,21,2,0,0,0,0,2,1.51,-0.439,-3.74,7.35,7.33,1t start tie,5t 1-3 1 out  d3
