Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER
"Keuchel, D.",77,1,6-Apr,HOU,,CLE,W2-0,GS-7,W(1-0),99,7,3,0,0
"Keuchel, D.",78,6,12-Apr,HOU,@,TEX,W6-4,GS-7,,5,7,6,2,2
"Keuchel, D.",79,11,18-Apr,HOU,,LAA,W4-0,GS-6,W(2-0),5,6,2,0,0
"Keuchel, D.",80,16,24-Apr,HOU,@,MTL,W5-4,GS-9,,5,9,2,0,0
"Keuchel, D.",81,21,29-Apr,HOU,@,MTL,W7-2,GS-8,W(3-0),4,8,3,1,1
"Keuchel, D.",82,26,4-May,HOU,,MTL,L1-2,GS-8,,4,8,5,1,1
"Keuchel, D.",83,31,9-May,HOU,@,MTL,W6-5,GS-7,W(4-0),4,6.2,8,4,4
"Keuchel, D.",84,36,15-May,HOU,,TOR,W8-4,GS-7,W(5-0),5,6,8,4,4
"Keuchel, D.",85,41,20-May,HOU,,OAK,W6-1,GS-7,W(6-0),4,7,6,1,0
"Keuchel, D.",86,46,25-May,HOU,@,BAL,L3-4,CG(8),L(6-1),4,8,6,4,4
"Keuchel, D.",87,50,30-May,HOU,,CHW,W3-0,SHO,W(7-1),4,9,4,0,0
"Keuchel, D.",88,55,4-Jun,HOU,,BAL,L2-3,GS-6,,4,6,6,2,2
"Keuchel, D.",89,60,9-Jun,HOU,@,CHW,L2-4,GS-7,L(7-2),4,7,7,2,2
"Keuchel, D.",90,65,15-Jun,HOU,,COL,W6-3,GS-7,W(8-2),5,6.2,4,3,3
"Keuchel, D.",91,70,20-Jun,HOU,@,SEA,L3-6,GS-6,L(8-3),4,6,5,5,5
"Keuchel, D.",92,75,25-Jun,HOU,,NYY,W4-0,SHO,W(9-3),4,9,6,0,0
"Keuchel, D.",93,80,30-Jun,HOU,,KCR,W4-0,GS-8,W(10-3),4,8,7,0,0
"Keuchel, D.",94,85,6-Jul,HOU,@,CLE,W9-4,GS-6,W(11-3),5,6,9,3,3
"Keuchel, D.",95,90,11-Jul,HOU,@,TBR,L0-3,GS-7,L(11-4),4,7,7,3,3
"Keuchel, D.",96,94,19-Jul,HOU,,TEX,W10-0,GS-7,W(12-4),7,7,2,0,0
"Keuchel, D.",97,100,26-Jul,HOU,@,KCR,L1-5,GS-7,L(12-5),6,6.2,10,5,5
"Keuchel, D.",98,105,1-Aug,HOU,,ARI,W9-2,GS-6,W(13-5),5,6,2,2,2
"Keuchel, D.",99,111,7-Aug,HOU,@,OAK,L1-3,GS-8,L(13-6),5,7.2,10,3,3
"Keuchel, D.",100,116,14-Aug,HOU,,DET,W5-1,GS-7,W(14-6),6,7,6,1,1
"Keuchel, D.",101,121,19-Aug,HOU,,TBR,W3-2,GS-8,,4,7,7,2,2
"Keuchel, D.",102,127,25-Aug,HOU,@,NYY,W15-1,GS-7,W(15-6),5,7,3,0,0
"Keuchel, D.",103,132,31-Aug,HOU,,SEA,W8-3,GS-7,W(16-6),5,7,6,1,1
"Keuchel, D.",104,137,6-Sep,HOU,,MIN,W8-5,GS-8,W(17-6),5,8,5,3,3
"Keuchel, D.",105,141,11-Sep,HOU,@,LAA,L2-3,GS-6,L(17-7),4,6,5,3,0
"Keuchel, D.",106,146,16-Sep,HOU,@,TEX,L3-14,GS-5,L(17-8),4,4.2,11,9,9
"Keuchel, D.",107,151,21-Sep,HOU,,LAA,W6-3,GS-8,W(18-8),4,7.2,6,1,1
"Keuchel, D.",108,156,27-Sep,HOU,,TEX,W4-2,GS-7,W(19-8),5,7,2,1,1
"Keuchel, D.",109,160,2-Oct,HOU,@,ARI,W21-5,GS-6,W(20-8),4,6,6,2,2
