Pitcher,Gtm,H,R,ER,BB,SO,HR,HBP,Opp,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,Entered,Exited,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD)
"Keuchel, D.",1,3,0,0,3,4,0,0,,0,26,103,66,23,13,15,4,3,0,0,72,,,0,0,0,23,0,0,1t start tie,7t 3 out  a1,0,1,0,0,1.37,0.445,3.41,24.15,15
"Keuchel, D.",6,6,2,2,3,3,0,0,TEX,1.29,29,94,58,16,5,16,7,5,0,0,57,,,0,0,0,26,1,0,1b start tie,7b 3 out  a2,0,1,0,0,0.95,0.18,1.58,10.55,8
"Keuchel, D.",11,2,0,0,3,7,0,0,,0.9,23,105,61,17,9,10,3,3,0,0,72,,,0,0,0,20,1,0,1t start tie,6t 3 out tie,0,0,0,0,1.06,0.351,2.92,29.1,17
,16,2,0,0,2,4,0,0,OAK,0.62,30,106,64,22,5,14,10,4,0,0,85,,,0,0,0,27,0,0,1b start tie,9b 3 out tie,0,1,0,0,1.15,0.677,4.38,25.85,13
,21,3,1,1,0,4,0,0,SDP,0.73,27,115,73,26,4,11,12,7,2,0,76,,,0,0,0,27,1,0,1b start tie,8b 3 out  a2,0,0,0,0,1.02,0.353,2.45,24.4,15
,26,5,1,1,2,8,0,0,TEX,0.8,30,110,69,17,16,12,8,5,1,0,74,,,1,0,0,28,3,0,1t start tie,8t 3 out tie,0,1,0,0,1.66,0.312,2.89,26,15
,31,8,4,4,2,7,1,0,LAA,1.39,29,103,62,19,11,11,9,6,1,0,47,,,0,0,0,27,1,0,1b start a 1,7b 1-- 2 out  a2,0,1,0,0,1.09,-0.033,-1.01,15.4,13.67
,36,8,4,4,3,5,0,0,,1.87,28,102,65,16,12,14,6,5,0,0,42,,,0,0,0,25,1,0,1t start tie,7t 12- 0 out  a3,0,1,0,0,0.92,-0.05,-2.07,9.9,11
,41,6,1,0,2,4,0,0,OAK,1.67,30,106,69,21,11,16,8,6,0,0,65,,,0,0,0,28,0,0,1t start tie,7t 3 out  a2,0,0,0,1,1.51,0.26,2.41,20.55,15
,46,6,4,4,1,3,2,0,BAL,1.98,28,98,62,14,7,14,10,7,2,0,56,,,0,0,0,27,0,0,1b start tie,8b 3 out  d1,0,2,0,0,0.99,-0.218,0.01,11.3,7
