Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"McCullers, L.",1,39,18-May,HOU,,OAK,L1-2,GS-5,,99,4.2,3,1,1,3,5,0,0,1.93,20,93,54,22,5,8,4,1,0,0,56,,,0,0,0,17,2,0,0,0,0,0,1.08,0.124,1.12,14.9,8.67,1t start tie,5t -2- 2 out tie
"McCullers, L.",2,44,23-May,HOU,@,DET,W3-2,GS-6,W(1-0),4,6,6,2,2,1,6,0,0,2.53,24,100,62,20,7,8,9,5,1,0,57,,,0,0,0,23,2,0,1,2,0,2,1.2,0.067,0.86,18.3,14,1b start tie,6b 3 out  a1
"McCullers, L.",3,49,29-May,HOU,,CHW,L3-6,GS-5,,5,4.1,5,2,1,2,7,0,2,2.4,23,89,52,18,8,5,7,5,0,0,52,,,0,0,0,19,1,0,0,0,0,0,1.28,-0.051,-0.12,14.55,10.33,1t start tie,5t 123 1 out tie
"McCullers, L.",4,54,3-Jun,HOU,,BAL,W3-1,CG,W(2-0),4,9,4,1,1,0,11,0,0,1.88,31,107,73,22,15,10,10,5,1,0,86,,,0,0,0,31,1,1,0,0,0,0,0.94,0.443,3.38,41.95,23,1t start tie,9t 3 out  a2
"McCullers, L.",5,59,8-Jun,HOU,@,CHW,L1-3,GS-7,L(2-1),4,7,4,3,3,0,7,1,1,2.32,25,96,66,14,17,10,7,3,1,0,64,,,0,0,0,24,1,0,0,1,0,0,0.7,-0.11,0.26,18.35,11,1b start tie,7b 3 out  d2
"McCullers, L.",6,64,14-Jun,HOU,,SEA,W13-0,GS-5,W(3-1),5,5,0,0,0,4,4,0,0,2,18,90,48,20,4,4,6,0,1,0,67,,,0,0,0,14,0,0,0,1,0,0,0.64,0.158,2.43,23.25,13,1t start tie,5t 3 out a10
"McCullers, L.",7,69,19-Jun,HOU,@,SEA,L2-5,GS-5,L(3-2),4,4.1,6,5,3,3,6,0,0,2.45,23,88,51,15,15,8,6,3,1,0,38,,,0,0,0,20,0,0,0,0,0,1,1.13,-0.269,-2.86,8.55,7.33,1b start a 1,5b 1-3 1 out  d3
"McCullers, L.",8,74,24-Jun,HOU,@,LAA,L1-2,GS-6,,4,6,4,1,1,3,6,0,1,2.33,26,104,57,16,7,8,8,2,4,0,63,,,0,0,0,21,1,0,0,0,1,0,1.27,0.173,1.74,18.1,11,1b start tie,6b 3 out tie
"McCullers, L.",9,79,29-Jun,HOU,,KCR,W6-1,GS-7,W(4-2),4,7,4,1,1,2,6,1,0,2.19,26,102,66,21,8,7,11,6,2,0,69,,,0,0,0,24,1,0,0,1,0,0,0.69,0.209,2.41,24.95,16,1t start tie,7t 3 out  a5
"McCullers, L.",10,84,5-Jul,HOU,@,BOS,L4-5,GS-5,,5,5,7,1,1,3,3,0,0,2.16,22,101,60,15,5,9,7,3,1,0,49,,,0,0,0,19,1,0,0,2,0,0,1.37,0.162,1.58,6.85,7,1b start tie,5b 3 out tie
"McCullers, L.",11,91,12-Jul,HOU,@,TBR,L3-4,GS-6,L(4-3),6,6,4,4,4,3,10,0,0,2.52,24,93,61,21,11,6,5,3,0,0,55,,,0,0,0,21,0,1,0,1,0,0,1.36,-0.242,-1.14,20.7,12,1b start a 1,6b 3 out  d1
"McCullers, L.",12,97,23-Jul,HOU,,BOS,W5-4,GS-5,,10,5,6,2,2,3,2,1,0,2.6,24,89,52,11,6,10,9,6,1,0,46,,,0,0,0,21,3,0,0,0,0,1,0.94,0.029,0.43,4.05,5,1t start tie,5t 3 out  d1
"McCullers, L.",13,102,29-Jul,HOU,,LAA,W6-3,GS-7,W(5-3),5,7,5,1,1,0,5,0,0,2.48,26,99,62,18,9,13,8,4,2,0,68,,,1,0,0,26,3,1,0,0,0,0,0.99,0.282,2.41,21.75,15,1t start tie,7t 3 out  a2
"McCullers, L.",14,107,3-Aug,HOU,@,TEX,L9-12,GS-1,L(5-4),4,0.1,7,6,6,1,1,1,0,3.17,9,43,26,6,4,1,6,5,0,0,13,,,0,0,0,8,0,1,0,0,0,0,1.07,-0.54,-6.69,-17.65,-4.67,1b start a 2,1b 1-3 1 out  d4
