Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"McHugh, C.",41,4,10-Apr,HOU,@,TEX,W5-1,GS-6,W(1-0),99,6,5,1,1,2,4,0,0,1.5,24,85,57,17,10,13,5,4,1,0,60,,,0,1,0,22,2,0,0,0,0,0,1.17,0.251,2.07,17.5,13,1b start a 1,6b 3 out  a1
"McHugh, C.",42,9,15-Apr,HOU,,OAK,W6-1,GS-6,W(2-0),4,5.2,6,1,1,0,11,0,0,1.54,23,102,71,25,13,7,5,4,0,0,64,,,0,0,0,23,1,1,0,0,0,0,1.16,0.192,1.6,29.55,19.67,1t start tie,6t -2- 2 out  a3
"McHugh, C.",43,14,21-Apr,HOU,@,SEA,W6-3,GS-7,W(3-0),5,7,7,3,3,2,3,0,0,2.41,28,105,64,19,10,10,13,7,1,0,52,,,0,0,0,26,1,0,0,1,0,0,0.94,-0.103,0.2,11.35,11,1b start tie,7b 3 out  d2
"McHugh, C.",44,19,27-Apr,HOU,@,SDP,W9-4,GS-6,,5,6,7,3,3,0,5,0,0,2.92,25,95,63,19,10,11,9,3,1,0,51,,,0,0,0,25,1,0,0,0,0,0,1.01,-0.06,-0.41,9.1,8,1b start tie,6b 3 out tie
"McHugh, C.",45,24,2-May,HOU,,SEA,W11-4,GS-7,W(4-0),4,7,6,4,4,2,3,4,0,3.41,29,106,68,18,9,9,15,2,0,0,50,,,0,0,0,27,0,0,0,0,0,0,0.57,-0.084,-0.59,10.55,10,1t start tie,7t 3 out  a6
"McHugh, C.",46,29,7-May,HOU,@,LAA,W3-2,GS-8,,4,7.1,5,2,2,1,7,1,1,3.23,27,97,58,14,14,8,10,5,2,0,66,,,0,0,0,24,2,0,0,1,0,0,0.71,0.15,1.52,19.9,12.33,1b start tie,8b 1-3 1 out  d1
"McHugh, C.",47,33,12-May,HOU,,SFG,L1-8,GS-5,L(4-1),4,4.2,8,7,7,2,3,0,1,4.33,24,91,55,16,10,10,8,5,1,0,21,,,0,1,0,21,1,0,0,0,0,0,1.03,-0.276,-3,-7.7,0.67,1t start tie,5t 12- 2 out  d4
"McHugh, C.",48,38,17-May,HOU,,TOR,W4-2,GS-7,W(5-1),4,7,6,2,2,1,9,0,1,4.09,29,104,68,15,13,6,12,6,1,0,65,,,0,0,0,23,4,0,0,0,2,0,1.39,0.193,1.41,25.95,18,1t start tie,7t 3 out  a1
"McHugh, C.",49,43,22-May,HOU,@,DET,L2-6,GS-7,L(5-2),4,7,9,3,3,1,2,1,1,4.06,29,106,71,12,9,13,12,5,1,0,48,,,1,1,0,27,2,0,0,2,0,0,1.14,-0.04,0.34,2.35,6,1b start tie,7b 3 out  d1
"McHugh, C.",50,48,27-May,HOU,@,BAL,L4-5,GS-6,,4,6,9,4,4,0,5,2,1,4.24,27,101,62,18,9,11,10,7,0,0,43,,,2,0,0,26,1,0,0,1,0,0,0.72,-0.215,-0.99,4.1,7,1b start tie,6b 3 out  d3
"McHugh, C.",51,53,2-Jun,HOU,,BAL,W6-4,GS-7,W(6-2),5,7,6,4,4,2,6,0,0,4.33,27,111,71,17,14,8,11,2,2,0,53,,,0,0,0,25,0,1,0,1,0,0,1,0.043,-0.59,16.55,13,1t start tie,7t 3 out  a1
"McHugh, C.",52,58,7-Jun,HOU,@,TOR,L6-7,GS-6,,4,6,7,3,3,1,3,2,1,4.34,27,101,63,22,5,9,13,5,2,0,48,,,0,0,0,25,0,0,0,1,0,1,1,-0.084,-0.11,4.5,6,1b start tie,6b 3 out  d1
"McHugh, C.",53,63,13-Jun,HOU,,SEA,L1-8,GS-3,L(6-3),5,3,9,8,8,2,1,2,1,5.08,21,74,39,8,6,5,12,8,1,0,8,,,0,0,0,17,2,0,0,0,1,0,0.52,-0.417,-6.54,-18.65,-4,1t start tie,3t 3 out  d8
"McHugh, C.",54,68,18-Jun,HOU,@,COL,W8-4,GS-6,W(7-3),4,6,4,3,3,5,8,1,0,5.04,27,112,72,15,14,5,9,4,0,0,55,,,0,0,0,21,1,0,0,0,0,0,1.18,0.067,0.29,22.7,15,1b start a 1,6b 3 out  a2
"McHugh, C.",55,73,23-Jun,HOU,@,LAA,W13-3,GS-8,W(8-3),4,8,9,2,2,1,6,0,0,4.8,33,114,75,16,8,13,13,6,0,0,61,,,0,0,0,32,1,0,1,1,0,0,0.51,0.107,1.66,19.2,16,1b start a 1,8b 3 out  a9
"McHugh, C.",56,78,28-Jun,HOU,,NYY,W3-1,GS-8,W(9-3),4,8,2,1,1,2,8,0,0,4.51,28,106,71,21,15,10,8,2,3,0,80,,,0,0,0,26,0,0,0,0,0,0,1.03,0.423,2.89,33.6,19,1t start tie,8t 3 out  a1
"McHugh, C.",57,83,4-Jul,HOU,@,BOS,L1-6,GS-6,L(9-4),5,5.1,7,4,3,3,1,0,0,4.54,28,104,61,15,6,13,11,5,3,0,38,,,0,0,0,24,2,0,0,0,1,2,0.8,-0.134,-1.6,-0.4,3.33,1b start tie,6b -2- 1 out  d4
"McHugh, C.",58,89,10-Jul,HOU,@,TBR,L1-3,GS-7,L(9-5),5,7,4,3,3,1,6,1,0,4.5,26,96,64,16,13,12,7,1,1,0,62,,,0,0,0,25,1,0,0,0,0,0,0.99,-0.096,0.34,16.95,10,1b start tie,7b 3 out  d2
"McHugh, C.",59,92,17-Jul,HOU,,TEX,W3-2,GS-6,W(10-5),6,6,11,1,1,0,4,0,0,4.35,26,97,66,12,10,12,10,5,2,0,50,,,0,0,0,26,0,0,0,1,0,0,1.15,0.225,1.92,10.3,13,1t start tie,6t 3 out  a2
"McHugh, C.",60,96,22-Jul,HOU,,BOS,W4-2,GS-7,W(11-5),4,7,7,2,2,1,4,0,1,4.25,29,98,72,20,9,10,13,7,2,0,58,,,0,0,0,27,1,0,0,1,0,0,1.61,0.272,1.41,14.75,13,1t start tie,7t 3 out  a2
"McHugh, C.",61,101,28-Jul,HOU,,LAA,W10-5,GS-5,W(12-5),5,5,7,5,5,4,3,1,0,4.43,26,93,58,10,9,9,10,4,3,0,32,,,1,0,0,22,1,0,0,0,0,0,1.14,-0.256,-2.57,2.85,7,1t start tie,5t 3 out  a1
"McHugh, C.",62,106,2-Aug,HOU,,ARI,W4-1,GS-7,W(13-5),4,7,8,1,1,1,6,0,0,4.27,29,100,72,22,12,11,11,5,1,0,62,,,0,0,1,28,4,0,0,0,0,0,1.11,0.249,2.41,20.15,16,1t start tie,7t 3 out  a3
"McHugh, C.",63,112,8-Aug,HOU,@,OAK,L1-2,GS-6,L(13-6),5,6,5,2,2,3,8,0,0,4.22,26,121,78,21,11,2,13,7,2,0,59,,,1,0,0,23,3,0,0,0,0,0,0.8,0.049,0.92,19.5,12,1b start tie,6b 3 out  d1
"McHugh, C.",64,117,15-Aug,HOU,,DET,L2-4,GS-7,,6,7,4,1,1,2,7,0,0,4.09,27,102,67,16,14,10,8,4,0,0,70,,,1,0,0,25,0,0,0,0,0,0,0.83,0.227,2.41,22.95,13,1t start tie,7t 3 out  d1
"McHugh, C.",65,122,20-Aug,HOU,,TBR,L0-1,GS-7,L(13-7),4,7,5,1,1,2,5,0,0,3.96,28,108,71,17,12,11,10,3,1,0,66,,,0,0,0,25,0,0,0,0,0,0,1.11,0.233,2.41,17.75,11,1t start tie,7t 3 out  d1
"McHugh, C.",66,128,26-Aug,HOU,@,NYY,W6-2,GS-7,W(14-7),5,6.1,5,2,2,2,8,1,0,3.92,26,107,66,18,14,6,10,3,5,0,61,,,0,0,0,24,0,0,0,0,0,0,0.83,0.213,1.08,24.25,16.33,1b start tie,7b --- 1 out  a3
"McHugh, C.",67,135,4-Sep,HOU,,MIN,W8-0,GS-8,W(15-7),8,7.2,7,0,0,1,6,0,0,3.75,29,106,66,18,10,13,9,3,1,0,70,,,0,0,0,28,2,0,0,1,0,0,0.62,0.21,3.79,24.85,17.67,1t start tie,8t --- 2 out  a7
