Pitcher,Gcar,Gtm,Date,Tm,Home/Away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
"Kazmir, S.",242,3,8-Apr,OAK,Home,TEX,W10-0,GS-7,W(1-0),99,7.0,1,0,0,2,10,0,0,0.0,25,95,62,22,13,6,7,2,2,0,83.0,,,0,0,0,22,0,0,0,0,0,1,0.44,0.195,3.41,38.55,21.0,1t start tie,7t 3 out  a9
"Kazmir, S.",243,8,13-Apr,OAK,Away,HOU,W8-1,GS-6,W(2-0),4,6.0,3,1,1,3,8,1,0,0.69,23,91,56,18,12,5,7,3,0,0,67.0,,,0,0,0,20,1,0,0,1,0,0,0.6,0.11699999999999999,1.92,27.9,17.0,1b start a 3,6b 3 out  a7
"Kazmir, S.",244,13,19-Apr,OAK,Away,KCR,L2-4,GS-8,No Decision,5,7.1,6,2,2,1,5,0,1,1.33,29,103,73,16,11,14,8,5,2,0,62.0,,,0,0,0,27,1,0,0,1,0,0,1.42,0.311,2.33,14.7,10.33,1b start tie,8b -2- 1 out  a1
"Kazmir, S.",245,18,24-Apr,OAK,Home,HOU,L4-5,GS-7,No Decision,4,7.0,5,0,0,3,7,0,0,0.99,29,106,69,16,11,8,11,4,1,0,71.0,,,0,0,0,26,0,0,0,0,0,0,1.33,0.43799999999999994,3.41,23.75,14.0,1t start tie,7t 3 out tie
"Kazmir, S.",246,24,1-May,OAK,Away,TEX,W7-5,GS-6,No Decision,6,6.0,6,3,3,1,6,2,1,1.62,26,98,65,18,10,6,12,11,1,0,53.0,,,0,0,0,23,2,0,0,0,1,0,0.69,-0.079,0.07,11.7,9.0,1b start tie,6b 3 out  d3
"Kazmir, S.",247,29,6-May,OAK,Away,MIN,L0-13,GS-6,L(2-1),4,6.0,7,6,6,2,4,2,0,2.75,26,99,67,15,9,6,14,9,2,0,36.0,,,0,0,0,23,0,1,0,1,1,0,0.58,-0.23,-2.99,1.1,4.0,1b start tie,6b 3 out  d6
"Kazmir, S.",248,34,11-May,OAK,Home,BOS,L4-5,GS-6,No Decision,4,6.0,4,2,2,4,3,0,0,2.78,24,111,68,15,13,6,11,7,3,0,55.0,,,0,0,1,20,2,0,0,1,0,0,1.13,0.085,0.92,10.7,7.0,1t start tie,6t 3 out  a1
"Kazmir, S.",249,39,17-May,OAK,Home,CHW,L3-7,GS-5,L(2-2),5,4.1,7,5,3,3,6,0,0,3.08,25,103,67,19,13,14,2,2,0,0,36.0,,,0,0,0,21,2,0,0,0,0,2,1.51,-0.439,-3.74,7.35,7.33,1t start tie,5t 1-3 1 out  d3
"Kazmir, S.",250,44,22-May,OAK,Away,TBR,L2-5,GS-6,L(2-3),4,5.2,8,3,2,3,4,1,0,3.09,27,106,64,11,10,10,10,4,2,0,44.0,,,2,0,0,23,1,1,0,1,0,1,1.25,-0.165,-0.49,7.15,7.67,1b start tie,6b --3 2 out  d2
"Kazmir, S.",251,49,27-May,OAK,Home,DET,L2-3,GS-3,No Decision,4,3.0,0,0,0,3,4,0,0,2.93,12,47,28,3,6,4,1,1,0,0,60.0,,,0,0,0,9,0,0,0,0,0,0,1.22,0.152,1.46,14.75,7.0,1t start tie,3t 3 out tie
"Kazmir, S.",252,57,5-Jun,OAK,Away,BOS,L2-4,GS-5,L(2-4),8,4.2,9,4,3,1,4,0,0,3.14,23,77,51,17,6,7,11,6,0,0,35.0,,,1,0,0,21,3,0,0,1,1,0,0.81,-0.193,-1.93,1.7,5.67,1b start tie,5b 1-3 2 out  d3
"Kazmir, S.",253,62,11-Jun,OAK,Home,TEX,W7-0,GS-8,W(3-4),5,8.0,1,0,0,2,6,0,0,2.79,26,105,73,16,14,4,14,6,1,0,84.0,,,0,0,0,24,0,0,0,1,0,0,1.16,0.578,3.89,32.8,18.0,1t start tie,8t 3 out  a1
"Kazmir, S.",254,67,16-Jun,OAK,Away,SDP,W6-5,GS-5,No Decision,4,5.0,5,3,2,1,6,1,0,2.84,21,81,57,14,10,8,6,5,0,0,52.0,,,1,0,0,20,0,0,0,0,0,1,1.05,-0.18,-0.84,13.25,9.0,1b start tie,5b 3 out tie
"Kazmir, S.",255,72,21-Jun,OAK,Home,LAA,W3-2,GS-8,W(4-4),4,7.1,6,1,1,3,6,0,0,2.7,29,112,79,25,9,10,10,5,2,0,65.0,,,0,0,0,26,0,0,0,2,0,0,1.16,0.40299999999999997,3.38,23.3,16.33,1t start tie,8t 1-- 1 out  a3
"Kazmir, S.",256,77,27-Jun,OAK,Home,KCR,L2-3,GS-7,L(4-5),5,7.0,7,3,3,1,6,0,0,2.79,29,102,67,22,9,12,10,5,2,0,56.0,,,2,0,0,27,1,0,0,0,1,0,1.25,-0.062,0.41,13.35,10.0,1t start tie,7t 3 out  d1
"Kazmir, S.",257,82,2-Jul,OAK,Home,SEA,W4-0,GS-8,W(5-5),4,8.0,2,0,0,0,7,0,1,2.56,26,105,69,17,10,13,5,1,2,0,85.0,,,0,0,0,25,1,0,0,1,0,0,0.71,0.375,3.89,33.0,19.0,1t start tie,8t 3 out  a4
